,url,contr_num_2021-11-29 00:48:12.171715_2021-12-29 00:48:12.171715_{'min_commits': 1},contr_num_2021-11-29 00:48:12.171715_2021-12-29 00:48:12.171715_{'min_commits': 3},contr_num_2021-11-29 00:48:12.171715_2021-12-29 00:48:12.171715_{'min_commits': 5},contr_num_2021-11-29 00:48:12.171715_2021-12-29 00:48:12.171715_{'min_commits': 10},forks count,subscribers count,stargazers_count
0,https://github.com/angular/angular,23,9,8,4,20611,3113,78496
1,https://github.com/benbraou/ivy-status-api,0,0,0,0,0,1,10
2,https://github.com/mobxjs/mobx,5,2,1,0,1620,383,24665
3,https://github.com/stigi/storybook-issue-3843,0,0,0,0,0,1,0
4,https://github.com/stigi/Versioning-Test,0,0,0,0,0,1,0
5,https://github.com/pharo-project/pharo,11,8,8,5,270,43,771
6,https://github.com/SabineMa/FixedDecimalTest,0,0,0,0,0,2,0
7,https://github.com/SquareBracketAssociates/PharoLimbo,0,0,0,0,1,24,6
8,https://github.com/pharo-mooc/PharoMooc,1,0,0,0,15,31,19
9,https://github.com/hpi-swa/smalltalkCI,0,0,0,0,72,26,70
10,https://github.com/redline-smalltalk/redline-smalltalk,0,0,0,0,47,45,309
11,https://github.com/davidbkemp/Quantum-Error-Correction-Coding,0,0,0,0,1,2,2
12,https://github.com/davidbkemp/meta-toolkit-docker,0,0,0,0,0,1,0
13,https://github.com/davidbkemp/KeyboardCombinerArduinoSketch,0,0,0,0,2,2,12
14,https://github.com/trinary/d3-transform,0,0,0,0,18,7,161
15,https://github.com/fossasia/visdom,1,1,1,1,1076,194,8859
16,https://github.com/zuoxingdong/gym-recsys,0,0,0,0,1,2,7
17,https://github.com/deepmind/dm_control,3,0,0,0,476,121,2605
18,https://github.com/liusiqi43/word2vec,0,0,0,0,0,0,0
19,https://github.com/liusiqi43/metabolise-backend,0,0,0,0,0,2,0
20,https://github.com/diaspora/diaspora,0,0,0,0,2933,489,12939
21,https://github.com/grzuy/test_app_rack_attack_456,0,0,0,0,0,2,0
22,https://github.com/samuelkadolph/securecompare,0,0,0,0,5,0,3
23,https://github.com/samuelkadolph/s3cmd,0,0,0,0,3,0,5
24,https://github.com/samuelkadolph/ruby-pac,0,0,0,0,3,0,6
25,https://github.com/durch/rust-s3,0,0,0,0,103,8,242
26,https://github.com/rust-embedded/rust-sysfs-gpio,0,0,0,0,43,19,346
27,https://github.com/jwilm/uuidtoa,0,0,0,0,0,1,2
28,https://github.com/serde-rs/serde,2,1,1,0,479,57,4930
29,https://github.com/thorbenk/saliencyfilters,0,0,0,0,4,1,7
30,https://github.com/zappa/Zappa,3,0,0,0,233,24,1284
31,https://github.com/Miserlou/Zappa,0,0,0,0,1271,260,11857
32,https://github.com/gradio-app/gradio,13,8,8,4,287,62,4606
33,https://github.com/gradio-app/hub-rna-localization,0,0,0,0,2,1,2
34,https://github.com/wukevin/bowMOI,0,0,0,0,0,2,0
35,https://github.com/mnapoli/IsItMaintained,0,0,0,0,25,11,299
36,https://github.com/simi/omniauth-facebook,0,0,0,0,393,39,1252
37,https://github.com/scpike/excel2csv,0,0,0,0,14,2,30
38,https://github.com/ryepdx/ethaddress.org,0,0,0,0,72,21,211
39,https://github.com/jwhited/wgsd,0,0,0,0,34,11,352
40,https://github.com/logsol/Github-Auto-Deploy,0,0,0,0,191,41,555
41,https://github.com/markdorison/UITextFieldContentSizeExample,0,0,0,0,0,1,0
42,https://github.com/markdorison/heap_analytics,0,0,0,0,0,2,0
